split_mode,experiment,feature_count,metric,mean,std,seeds
chronological,lstm_classifier,24,72h_auc,0.978745869020666,0.00026906570666670337,3
chronological,lstm_classifier,24,72h_average_precision,0.879548362319596,0.01575576292125925,3
chronological,lstm_classifier,24,72h_brier,0.012314891769570476,0.0006422695125293475,3
chronological,lstm_classifier,24,72h_bss,0.7577401009191651,0.012634796163822393,3
chronological,lstm_classifier,24,72h_calibration_intercept,-0.25321457133649555,0.03121166321329057,3
chronological,lstm_classifier,24,72h_calibration_slope,1.5532510083796724,0.019494473593236538,3
chronological,lstm_classifier,24,72h_ece,0.027890468702339948,0.0013630555663065752,3
chronological,lstm_classifier,24,72h_f1,0.3435228279581904,0.016243323168967004,3
chronological,lstm_classifier,24,72h_far,0.7899129602581266,0.011942491407422134,3
chronological,lstm_classifier,24,72h_fn_ipcw,1.8664841085150634,0.6038248270752853,3
chronological,lstm_classifier,24,72h_fp_ipcw,116.8131850998001,8.283564692579477,3
chronological,lstm_classifier,24,72h_hss2,0.28794234516127853,0.018195945873489074,3
chronological,lstm_classifier,24,72h_km_reference_brier,0.05083338933226156,0.0,3
chronological,lstm_classifier,24,72h_known_count,467.0,0.0,3
chronological,lstm_classifier,24,72h_observed_survival_km,0.9525778467901921,0.0,3
chronological,lstm_classifier,24,72h_precision,0.2100870397418733,0.011942491407422148,3
chronological,lstm_classifier,24,72h_predicted_survival_mean,0.9242798884709676,0.0013022909051643905,3
chronological,lstm_classifier,24,72h_recall,0.9431892344655745,0.018378806719190576,3
chronological,lstm_classifier,24,72h_threshold,0.06452113389968872,0.0036195091270320515,3
chronological,lstm_classifier,24,72h_tn_ipcw,538.9449527136699,8.283564692579427,3
chronological,lstm_classifier,24,72h_tp_ipcw,30.98792457541704,0.6038248270752847,3
chronological,lstm_classifier,24,72h_tss,0.765054677890651,0.021748835796978366,3
chronological,lstm_classifier,24,event_censored_c_index,0.9689750514403292,0.001233600504304872,3
chronological,lstm_classifier,24,event_censored_fraction,0.9672092914781473,0.0,3
chronological,lstm_classifier,24,event_censored_pairs,20736.0,0.0,3
chronological,lstm_classifier,24,event_event_c_index,0.6903745851114271,0.0070169030758410605,3
chronological,lstm_classifier,24,event_event_fraction,0.0327907085218527,0.0,3
chronological,lstm_classifier,24,event_event_pairs,703.0,0.0,3
chronological,lstm_classifier,24,harrell_c_index,0.9598395447548859,0.001003658509788192,3
chronological,lstm_classifier,24,integrated_auc,0.9811877660450946,0.0008420798104416882,3
chronological,lstm_classifier,24,integrated_brier_score,0.014133544953827118,0.0005921793999885213,3
chronological,lstm_classifier,24,uno_c_index,0.8573185843656232,0.012750829744303077,3
chronological,svm,24,12h_alert_fraction,0.07802547770700637,0.0,3
chronological,svm,24,12h_auc,0.9512949312827484,0.0,3
chronological,svm,24,12h_average_precision,0.8352721306588959,0.0,3
chronological,svm,24,12h_brier,0.015317415438336895,0.00012005763921487727,3
chronological,svm,24,12h_bss,0.5881754481990873,0.0032278737662357437,3
